Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
PEOE_VSA6_C,T of comp.1,T of solv.1,-,98180.7538271605,0.0600321913318556,308.144444444444,0,0,0,0
Comp.1,T of comp.1,T of solv.1,-,98180.7538271605,0.0600321913318556,308.144444444444,0,0,0,0
TPSA_C,PEOE_VSA6_C,T of solv.1,-,99111.6334567901,0.0511200894026205,310.227777777778,0,0,0,0
TPSA_C,Comp.1,T of solv.1,-,99111.6334567901,0.0511200894026205,310.227777777778,0,0,0,0
PEOE_VSA6_C,Comp.1,T of solv.1,-,99111.6334567901,0.0511200894026205,310.227777777778,0,0,0,0
TPSA_C,PEOE_VSA6_C,Comp.1,T of solv.1,99111.6334567901,0.0511200894026205,310.227777777778,0,0,0,0
TPSA_C,T of solv.1,-,-,99485.6959567901,0.0475388711421771,310.852777777778,0,0,0,0
PEOE_VSA6_C,T of solv.1,-,-,99485.6959567901,0.0475388711421771,310.852777777778,0,0,0,0
Comp.1,T of solv.1,-,-,99485.6959567901,0.0475388711421771,310.852777777778,0,0,0,0
T of comp.1,Conc of comp.1,-,-,99722.0486111111,0.0452760662858801,285.708333333333,0,0,0,0
T of comp.1,hydrophilic,Conc of comp.1,-,99722.0486111111,0.0452760662858801,285.708333333333,0,0,0,0
T of comp.1,hydrophilic_section,Conc of comp.1,-,99722.0486111111,0.0452760662858801,285.708333333333,0,0,0,0
T of comp.1,hydrophbic_section,Conc of comp.1,-,99722.0486111111,0.0452760662858801,285.708333333333,0,0,0,0
TPSA_C,PEOE_VSA6_C,Conc of comp.1,-,99800.1419444445,0.0445284124276285,303.408333333333,0,0,0,0
TPSA_C,Comp.1,Conc of comp.1,-,99800.1419444445,0.0445284124276285,303.408333333333,0,0,0,0
PEOE_VSA6_C,Comp.1,Conc of comp.1,-,99800.1419444445,0.0445284124276285,303.408333333333,0,0,0,0
TPSA_C,PEOE_VSA6_C,Comp.1,Conc of comp.1,99800.1419444445,0.0445284124276285,303.408333333333,0,0,0,0
T of solv.1,Conc of comp.1,-,-,100387.188271605,0.0389081189564749,303.083333333333,0,0,0,0
T of comp.1,hydrophilic,hydrophilic_section,hydrophbic_section,101535.979166667,0.0279097672617014,302.208333333333,0,0,0,0
T of comp.1,hydrophilic,-,-,101993.201388889,0.0235323902958127,303.875,0,0,0,0
T of comp.1,hydrophilic_section,-,-,101993.201388889,0.0235323902958127,303.875,0,0,0,0
TPSA_C,PEOE_VSA6_S,T of comp.1,-,101993.201388889,0.0235323902958127,303.875,0,0,0,0
PEOE_VSA6_C,PEOE_VSA6_S,T of comp.1,-,101993.201388889,0.0235323902958127,303.875,0,0,0,0
TPSA_C,PEOE_VSA6_C,PEOE_VSA6_S,T of comp.1,101993.201388889,0.0235323902958127,303.875,0,0,0,0
TPSA_C,Comp.1,T of solv.1,Conc of comp.1,102047.69058642,0.0230107188927867,310.152777777778,0,0,0,0
PEOE_VSA6_C,Comp.1,T of solv.1,Conc of comp.1,102047.69058642,0.0230107188927867,310.152777777778,0,0,0,0
PEOE_VSA6_S,T of solv.1,hydrophilic,hydrophilic_section,102522.732638889,0.0184627375453353,309.222222222222,0,0,0,0
T of comp.1,hydrophbic_section,-,-,102595.979166667,0.0177614862763846,305.958333333333,0,0,0,0
PEOE_VSA6_S,T of comp.1,-,-,102699.246386054,0.0167728214094798,313.226190476191,0,0,0,0
T of comp.1,hydrophilic,hydrophbic_section,-,102798.090277778,0.0158265048180732,302.208333333333,0,0,0,0
T of comp.1,hydrophilic_section,hydrophbic_section,-,102798.090277778,0.0158265048180732,302.208333333333,0,0,0,0
PEOE_VSA6_S,Comp.1,T of comp.1,-,103214.739583333,0.0118375668698517,313.833333333333,0,0,0,0
PEOE_VSA6_C,PEOE_VSA6_S,Conc of comp.1,-,103554.621111111,0.00858359210984439,308.95,0,0,0,0
PEOE_VSA6_C,hydrophilic,Conc of comp.1,-,103554.621111111,0.00858359210984439,308.95,0,0,0,0
PEOE_VSA6_C,hydrophilic_section,Conc of comp.1,-,103554.621111111,0.00858359210984439,308.95,0,0,0,0
PEOE_VSA6_C,hydrophbic_section,Conc of comp.1,-,103554.621111111,0.00858359210984439,308.95,0,0,0,0
PEOE_VSA6_S,Comp.1,T of solv.1,-,104133.676311728,0.00303980448543584,312.569444444444,0,0,0,0
