,RD_KIT_Desc,Synthesis_Metric,P_Value
214,SlogP_VSA1,Avg_area,0.026398474908689958
215,NumHAcceptors,Avg_area,0.026124224378301752
216,MaxPartialCharge,sa,0.02588760607933919
217,MinAbsPartialCharge,sa,0.02583850229921271
218,MinEStateIndex,sq,0.025395774463482533
219,PEOE_VSA10,kur,0.0251436374720719
220,EState_VSA9,sa,0.024790754514496516
221,NumHAcceptors,T of comp,0.024730483528411226
222,NumHAcceptors,T of solv,0.024730483528411226
223,fr_ether,Polar_dispersity,0.024650217387325774
224,PEOE_VSA6,mean_particle_size_(mps),0.024624651073478065
225,TPSA,ssk,0.02457197646287435
226,VSA_EState1,Std_dev_(mps),0.024489807842594732
227,NOCount,Conc of comp,0.024488226493519148
228,TPSA,Solvent,0.02442463960340688
229,PEOE_VSA10,Std_dev_(mps),0.024384118102023983
230,Chi2n,T of solv,0.024293312485278787
231,Chi2n,T of comp,0.024293312485278787
232,TPSA,Avg_roundness,0.023800358276850286
233,TPSA,Avg_area,0.02367586338321419
234,SMR_VSA5,kur,0.02355907930419604
235,MinEStateIndex,sa,0.02345666280863118
236,TPSA,Full_molecule,0.02343809976408691
237,Chi0v,Std_dev_(mps),0.023396936572742794
238,NumHAcceptors,Avg_roundness,0.023375238040979126
239,TPSA,hydrophbic_section,0.02331094228010282
240,TPSA,hydrophilic_section,0.023280059721855356
241,MinPartialCharge,sq,0.023144235307082824
242,Chi4n,Avg_roundness,0.023072172016633634
243,TPSA,Polar_dispersity,0.02301582201044822
244,MinAbsEStateIndex,Solvent,0.02300278499772995
245,TPSA,Area_Sphere_Substance,0.02293597304104254
246,Chi4v,Solvent,0.022926623608047897
247,HallKierAlpha,Avg_area,0.02285961108142139
248,BCUT2D_MRLOW,Conc of comp,0.02280799560547701
249,SlogP_VSA12,sq,0.022657318687927603
250,TPSA,Conc of comp,0.022603134828991085
251,SlogP_VSA1,Avg_roundness,0.022503047944643167
252,fr_ether,Area_Sphere_Substance,0.022428447400467285
253,Chi3n,Solvent,0.022423160961422394
254,MaxPartialCharge,ssk,0.022252281178379272
255,Kappa3,T of comp,0.022121936971831044
256,Kappa3,T of solv,0.022121936971831044
257,SlogP_VSA6,T of solv,0.022006499178980142
258,SlogP_VSA6,T of comp,0.022006499178980142
259,VSA_EState1,ssk,0.021967523882125594
260,MinAbsPartialCharge,ssk,0.02186137133269602
261,PEOE_VSA1,Std_dev_(mps),0.021566043600853024
262,EState_VSA2,mean_particle_size_(mps),0.02138924961982512
263,VSA_EState3,Std_dev_(mps),0.021350391264239574
264,VSA_EState1,Solvent,0.021259967045795063
265,BCUT2D_CHGHI,Solvent,0.021067358919168232
266,PEOE_VSA9,mean_particle_size_(mps),0.021030859704729815
267,SMR_VSA7,T of comp,0.020903071645029064
268,SMR_VSA7,T of solv,0.020903071645029064
269,Chi0n,Std_dev_(mps),0.020875576384753326
270,HeavyAtomCount,sa,0.020656708294625334
271,SlogP_VSA6,mean_particle_size_(mps),0.02049943298614557
272,MinPartialCharge,sa,0.020492891117086704
273,Chi3n,Avg_area,0.02046911284094514
274,SMR_VSA6,ssk,0.020308082458309763
275,SlogP_VSA2,kur,0.0202272612528457
276,SMR_VSA5,mean_particle_size_(mps),0.020186682789355304
277,HallKierAlpha,avg,0.020158647251453908
278,BCUT2D_LOGPLOW,avg,0.020136802051937627
279,SMR_VSA6,Solvent,0.019969158634350052
280,Chi4v,Avg_area,0.01974249903674723
281,BCUT2D_CHGLO,avg,0.019662850034521267
282,SMR_VSA7,mean_particle_size_(mps),0.01953045379436696
283,NumHAcceptors,Full_molecule,0.01943836939206597
284,Chi1,kur,0.019271325189315965
285,NumHeteroatoms,ssk,0.019183404703264507
286,VSA_EState10,ssk,0.019000944473261727
287,VSA_EState1,Avg_roundness,0.018925310610624135
288,VSA_EState1,Avg_area,0.018901528257362684
289,MinEStateIndex,ssk,0.01878196908407228
290,SMR_VSA1,ssk,0.0187380289901447
291,SlogP_VSA2,mean_particle_size_(mps),0.018709705201056193
292,SMR_VSA6,Avg_roundness,0.018694996656079037
293,PEOE_VSA9,kur,0.018643195281984902
294,SMR_VSA6,Avg_area,0.018554542933380404
